cve,cvssid
CVE-2021-1360,1026b8d4-6657-11ec-b4e8-5c80b610a170
CVE-2021-1146,10277c3e-6657-11ec-a7a8-5c80b610a170
CVE-2021-1159,10288dc4-6657-11ec-82e6-5c80b610a170
CVE-2021-1160,10297807-6657-11ec-8e5c-5c80b610a170
CVE-2021-1161,102a624d-6657-11ec-ad16-5c80b610a170
CVE-2021-1162,102b2596-6657-11ec-95d6-5c80b610a170
CVE-2021-1163,102be8ea-6657-11ec-b19c-5c80b610a170
CVE-2021-1164,102cfa8e-6657-11ec-bfbf-5c80b610a170
CVE-2021-1165,102dbf10-6657-11ec-8ec5-5c80b610a170
CVE-2021-1166,102ed086-6657-11ec-81e4-5c80b610a170
CVE-2021-1167,10305736-6657-11ec-9323-5c80b610a170
CVE-2021-1168,1031674c-6657-11ec-8072-5c80b610a170
CVE-2021-1169,10325181-6657-11ec-9614-5c80b610a170
CVE-2021-1170,10333beb-6657-11ec-b36a-5c80b610a170
CVE-2021-1171,1033ff69-6657-11ec-8943-5c80b610a170
CVE-2021-1172,1034c3ed-6657-11ec-8e21-5c80b610a170
CVE-2021-1173,1035d3f0-6657-11ec-bba3-5c80b610a170
CVE-2021-1174,103734f1-6657-11ec-b3f9-5c80b610a170
CVE-2021-1175,1037f706-6657-11ec-812b-5c80b610a170
CVE-2021-1176,1038e162-6657-11ec-af23-5c80b610a170
CVE-2021-1177,1039a4b2-6657-11ec-a3d4-5c80b610a170
CVE-2021-1178,103a681e-6657-11ec-8121-5c80b610a170
CVE-2021-1179,103b2b4d-6657-11ec-99ea-5c80b610a170
CVE-2021-1180,103beea0-6657-11ec-a266-5c80b610a170
CVE-2021-1181,103cffe9-6657-11ec-9b0f-5c80b610a170
CVE-2021-1182,103e386d-6657-11ec-be8e-5c80b610a170
CVE-2021-1183,103f70d1-6657-11ec-ac96-5c80b610a170
CVE-2021-1190,10403420-6657-11ec-8227-5c80b610a170
CVE-2021-1191,1040f778-6657-11ec-a244-5c80b610a170
CVE-2021-1200,1041e1f4-6657-11ec-a902-5c80b610a170
CVE-2021-1201,1042a52b-6657-11ec-b377-5c80b610a170
CVE-2021-1202,1043688c-6657-11ec-a13f-5c80b610a170
CVE-2021-1203,10442be8-6657-11ec-8ad4-5c80b610a170
CVE-2021-1204,1045163c-6657-11ec-8f72-5c80b610a170
CVE-2021-1205,1045d98b-6657-11ec-ad92-5c80b610a170
CVE-2021-1217,10469d00-6657-11ec-8431-5c80b610a170
CVE-2021-1224,10476051-6657-11ec-8ffd-5c80b610a170
CVE-2021-1223,104823a5-6657-11ec-8d47-5c80b610a170
CVE-2021-1189,10490e03-6657-11ec-a380-5c80b610a170
CVE-2021-1184,104a465c-6657-11ec-a176-5c80b610a170
CVE-2021-1185,104b30b0-6657-11ec-bb1b-5c80b610a170
CVE-2021-1186,104c1b0a-6657-11ec-8f7b-5c80b610a170
CVE-2021-1187,104cdfd6-6657-11ec-b314-5c80b610a170
CVE-2021-1188,104da332-6657-11ec-aa22-5c80b610a170
CVE-2021-1192,104e6539-6657-11ec-86af-5c80b610a170
CVE-2021-1193,104f4f98-6657-11ec-b41b-5c80b610a170
CVE-2021-1194,105012e5-6657-11ec-805c-5c80b610a170
CVE-2021-1195,1050d642-6657-11ec-8b48-5c80b610a170
CVE-2021-1196,10519982-6657-11ec-a14b-5c80b610a170
CVE-2021-1197,105283e3-6657-11ec-8382-5c80b610a170
CVE-2021-1198,1053472e-6657-11ec-99f1-5c80b610a170
CVE-2021-1199,10543181-6657-11ec-8c5f-5c80b610a170
CVE-2021-1206,1054cdc7-6657-11ec-8430-5c80b610a170
CVE-2021-1207,1055b814-6657-11ec-8279-5c80b610a170
CVE-2021-1208,10567b5a-6657-11ec-b1c9-5c80b610a170
CVE-2021-1209,10573eb2-6657-11ec-994d-5c80b610a170
CVE-2021-1210,1058504b-6657-11ec-9486-5c80b610a170
CVE-2021-1211,10591397-6657-11ec-bdad-5c80b610a170
CVE-2021-1212,1059d6e1-6657-11ec-96e5-5c80b610a170
CVE-2021-1213,105ac14d-6657-11ec-9ff1-5c80b610a170
CVE-2021-1214,105b8494-6657-11ec-b277-5c80b610a170
CVE-2021-1215,105c4af4-6657-11ec-95ce-5c80b610a170
CVE-2021-1216,105d22ec-6657-11ec-83e7-5c80b610a170
CVE-2021-1158,105e0d46-6657-11ec-a60f-5c80b610a170
CVE-2021-1157,105ed06d-6657-11ec-8258-5c80b610a170
CVE-2021-1156,105f93d4-6657-11ec-9d6e-5c80b610a170
CVE-2021-1155,10605714-6657-11ec-99e7-5c80b610a170
CVE-2021-1154,10611a53-6657-11ec-a41e-5c80b610a170
CVE-2021-1153,106204ab-6657-11ec-b036-5c80b610a170
CVE-2021-1152,1062c803-6657-11ec-89ed-5c80b610a170
CVE-2021-1151,10638b6d-6657-11ec-8825-5c80b610a170
CVE-2021-1150,10644eaa-6657-11ec-a206-5c80b610a170
CVE-2021-1149,10651207-6657-11ec-b1eb-5c80b610a170
CVE-2021-1148,1065d558-6657-11ec-93f0-5c80b610a170
CVE-2021-1147,106698a2-6657-11ec-8f3d-5c80b610a170
CVE-2020-3284,10971e9d-6657-11ec-b8aa-5c80b610a170
CVE-2020-3574,10985710-6657-11ec-827e-5c80b610a170
CVE-2020-26070,10998fa3-6657-11ec-9780-5c80b610a170
CVE-2020-3459,109a7a02-6657-11ec-be80-5c80b610a170
CVE-2020-3455,109b6463-6657-11ec-92d3-5c80b610a170
CVE-2020-3457,109c27b4-6657-11ec-8da0-5c80b610a170
CVE-2020-3458,109ceb0a-6657-11ec-8ea8-5c80b610a170
CVE-2020-3299,109dd566-6657-11ec-b6ce-5c80b610a170
CVE-2020-3562,109e71a1-6657-11ec-b46b-5c80b610a170
CVE-2020-3571,109f34f2-6657-11ec-8f9a-5c80b610a170
CVE-2018-0209,10a01f57-6657-11ec-aaca-5c80b610a170
CVE-2019-1950,10a130c2-6657-11ec-b023-5c80b610a170
CVE-2019-1795,10a21b21-6657-11ec-9391-5c80b610a170
CVE-2019-1791,10a3067f-6657-11ec-b00e-5c80b610a170
CVE-2019-1790,10a3ca26-6657-11ec-8791-5c80b610a170
CVE-2019-1784,10a48d6a-6657-11ec-ac71-5c80b610a170
CVE-2019-1783,10a550b1-6657-11ec-b252-5c80b610a170
CVE-2019-1782,10a61403-6657-11ec-af18-5c80b610a170
CVE-2019-1781,10a6d763-6657-11ec-b3f1-5c80b610a170
CVE-2020-3601,10a7c062-6657-11ec-9a68-5c80b610a170
CVE-2020-3602,10a85e14-6657-11ec-8f55-5c80b610a170
CVE-2020-3544,10a94704-6657-11ec-807c-5c80b610a170
CVE-2020-3543,10aa32ad-6657-11ec-a1cd-5c80b610a170
CVE-2019-1779,10aaf606-6657-11ec-955d-5c80b610a170
CVE-2019-1767,10abb964-6657-11ec-9808-5c80b610a170
CVE-2019-1735,10ac7c48-6657-11ec-b69c-5c80b610a170
CVE-2019-1592,10ad4016-6657-11ec-a278-5c80b610a170
CVE-2019-1842,10ae0342-6657-11ec-bd16-5c80b610a170
CVE-2019-1780,10af14af-6657-11ec-9efb-5c80b610a170
CVE-2019-1858,10afd801-6657-11ec-aa2f-5c80b610a170
CVE-2019-1768,10b09b5c-6657-11ec-8cdd-5c80b610a170
CVE-2019-1814,10b18437-6657-11ec-bd7f-5c80b610a170
CVE-2019-1806,10b2971e-6657-11ec-ab03-5c80b610a170
CVE-2019-1923,10b3a8a7-6657-11ec-972e-5c80b610a170
CVE-2019-1920,10b4b8ae-6657-11ec-9030-5c80b610a170
CVE-2019-1873,10b5a469-6657-11ec-bf0b-5c80b610a170
CVE-2019-1839,10b6b5dd-6657-11ec-9006-5c80b610a170
CVE-2019-1968,10b7c746-6657-11ec-8cd3-5c80b610a170
CVE-2019-1967,10b8ca66-6657-11ec-8cd4-5c80b610a170
CVE-2019-1966,10b98d9e-6657-11ec-8c30-5c80b610a170
CVE-2019-1965,10ba50ea-6657-11ec-a765-5c80b610a170
CVE-2020-3508,10bb3b6e-6657-11ec-950a-5c80b610a170
CVE-2019-1634,10bc25ac-6657-11ec-bdb4-5c80b610a170
CVE-2019-1727,10bd3702-6657-11ec-865e-5c80b610a170
CVE-2019-1690,10be6f77-6657-11ec-a4fe-5c80b610a170
CVE-2019-1686,10bf8116-6657-11ec-a292-5c80b610a170
CVE-2019-1859,10c06b78-6657-11ec-bb92-5c80b610a170
CVE-2019-1803,10c17cdc-6657-11ec-9d9c-5c80b610a170
CVE-2019-1589,10c2b571-6657-11ec-ac99-5c80b610a170
CVE-2019-1730,10c39fbc-6657-11ec-94b1-5c80b610a170
CVE-2019-1729,10c4630e-6657-11ec-b5ab-5c80b610a170
CVE-2019-1726,10c52669-6657-11ec-8b01-5c80b610a170
CVE-2019-15262,10c5e9ac-6657-11ec-8a55-5c80b610a170
CVE-2019-15258,10c6fb1d-6657-11ec-9719-5c80b610a170
CVE-2020-3422,10c80c92-6657-11ec-911d-5c80b610a170
CVE-2020-3421,10c8f6c8-6657-11ec-bb6b-5c80b610a170
CVE-2019-1601,10c9ba16-6657-11ec-940a-5c80b610a170
CVE-2019-1599,10ca7d6c-6657-11ec-ad31-5c80b610a170
CVE-2019-1593,10cb40b4-6657-11ec-8d7c-5c80b610a170
CVE-2019-1591,10cc2b3e-6657-11ec-b859-5c80b610a170
CVE-2020-3503,10ccee96-6657-11ec-8227-5c80b610a170
CVE-2020-3497,10cdb1de-6657-11ec-9ea5-5c80b610a170
CVE-2020-3494,10ce752c-6657-11ec-b99e-5c80b610a170
CVE-2020-3493,10cf387c-6657-11ec-905e-5c80b610a170
CVE-2020-3492,10cffbcd-6657-11ec-b4fe-5c80b610a170
CVE-2020-3489,10d1341d-6657-11ec-941d-5c80b610a170
CVE-2020-3488,10d1f784-6657-11ec-a5e6-5c80b610a170
CVE-2020-3509,10d2e1dc-6657-11ec-8298-5c80b610a170
CVE-2020-3480,10d37e09-6657-11ec-bdd6-5c80b610a170
