cvssid,level,score,attack
0f9829f7-6657-11ec-9ef7-5c80b610a170,中危,5.3,网络
0f991456-6657-11ec-b474-5c80b610a170,高危,8.6,网络
0f99feb6-6657-11ec-8f66-5c80b610a170,高危,8.6,网络
0f9ae918-6657-11ec-ad8f-5c80b610a170,高危,8.6,网络
0f9bd376-6657-11ec-b6a4-5c80b610a170,高危,8.6,网络
0f9cbdc8-6657-11ec-972a-5c80b610a170,高危,7.5,网络
0f9da827-6657-11ec-9827-5c80b610a170,高危,7.8,本地
0f9e9449-6657-11ec-af30-5c80b610a170,超危,9.8,网络
0f9fa43e-6657-11ec-8636-5c80b610a170,高危,8.6,网络
0fa0b593-6657-11ec-b8e5-5c80b610a170,高危,7.5,网络
0fa178da-6657-11ec-b974-5c80b610a170,超危,9.8,网络
0fa28a21-6657-11ec-8819-5c80b610a170,中危,5.3,网络
0fa34da7-6657-11ec-aa31-5c80b610a170,高危,8.6,网络
0fa410ba-6657-11ec-9acc-5c80b610a170,高危,8.8,网络
0fa5222c-6657-11ec-b151-5c80b610a170,超危,9.8,网络
0fa5e581-6657-11ec-b143-5c80b610a170,超危,9.8,网络
0fa6cfd0-6657-11ec-a64a-5c80b610a170,中危,6.8,邻接
0fa7e149-6657-11ec-8e05-5c80b610a170,中危,6.5,邻接
0fa8a49b-6657-11ec-9637-5c80b610a170,超危,9.1,网络
0fa967e7-6657-11ec-a7d7-5c80b610a170,中危,6.5,邻接
0faa2b4f-6657-11ec-afa7-5c80b610a170,高危,7.5,网络
0fab3cbd-6657-11ec-b59f-5c80b610a170,中危,4.7,网络
0fac000c-6657-11ec-95e5-5c80b610a170,高危,7.4,邻接
0fac9c7b-6657-11ec-bb68-5c80b610a170,高危,7.8,本地
0fad611c-6657-11ec-96c1-5c80b610a170,高危,8.6,网络
0fae2456-6657-11ec-9984-5c80b610a170,高危,8.6,网络
0faf5b94-6657-11ec-a80d-5c80b610a170,高危,8.6,网络
0fb10a7e-6657-11ec-8dc7-5c80b610a170,中危,5.8,网络
0fb21bef-6657-11ec-9875-5c80b610a170,超危,9.8,网络
0fb37a29-6657-11ec-b3e2-5c80b610a170,高危,8.6,网络
0fb43ef3-6657-11ec-b783-5c80b610a170,高危,8.6,网络
0fb527df-6657-11ec-92b8-5c80b610a170,中危,5.3,网络
0fb6122c-6657-11ec-bffb-5c80b610a170,高危,7.2,网络
0fb6d579-6657-11ec-9803-5c80b610a170,高危,7.2,网络
0fb798ca-6657-11ec-b9ba-5c80b610a170,高危,7.2,网络
0fb85c1a-6657-11ec-88f5-5c80b610a170,高危,7.2,网络
0fb8f859-6657-11ec-a432-5c80b610a170,高危,7.2,网络
0fb9bba8-6657-11ec-9a14-5c80b610a170,高危,7.2,网络
0fba7f09-6657-11ec-9f31-5c80b610a170,高危,7.2,网络
0fbb4342-6657-11ec-b3f3-5c80b610a170,高危,7.2,网络
0fbbdff0-6657-11ec-8e83-5c80b610a170,高危,7.2,网络
0fbca354-6657-11ec-a7f0-5c80b610a170,高危,7.2,网络
0fbd6551-6657-11ec-b928-5c80b610a170,超危,9.8,网络
0fbe4fb3-6657-11ec-b82d-5c80b610a170,高危,7.5,网络
0fbf1303-6657-11ec-b03a-5c80b610a170,高危,7.7,网络
0fc22172-6657-11ec-bd01-5c80b610a170,高危,8.6,网络
0fc2e390-6657-11ec-80b5-5c80b610a170,中危,6.5,邻接
0fc3cf2f-6657-11ec-b63f-5c80b610a170,中危,6.5,邻接
0fc4aa9e-6657-11ec-acfc-5c80b610a170,中危,6.5,邻接
0fc56dda-6657-11ec-b9b9-5c80b610a170,中危,6.5,邻接
0fc65983-6657-11ec-87e6-5c80b610a170,中危,6.5,邻接
0fc790be-6657-11ec-8a70-5c80b610a170,中危,6.5,邻接
0fc8554e-6657-11ec-a322-5c80b610a170,高危,8.8,网络
0fc9174e-6657-11ec-bcf5-5c80b610a170,高危,7.2,网络
0fca28e6-6657-11ec-b7a5-5c80b610a170,中危,6.3,网络
0fcb1418-6657-11ec-be43-5c80b610a170,中危,6.3,网络
0fcbd666-6657-11ec-81bf-5c80b610a170,中危,6.3,网络
0fccc23b-6657-11ec-a0cc-5c80b610a170,高危,7.2,网络
0fcdab20-6657-11ec-af5b-5c80b610a170,高危,7.2,网络
0fce6e9b-6657-11ec-9f56-5c80b610a170,高危,7.2,网络
0fcf31e9-6657-11ec-b287-5c80b610a170,高危,7.2,网络
0fcff535-6657-11ec-a393-5c80b610a170,高危,7.2,网络
0fd0b88e-6657-11ec-a183-5c80b610a170,高危,7.2,网络
0fd17bd4-6657-11ec-916d-5c80b610a170,高危,7.2,网络
0fd23f25-6657-11ec-b98e-5c80b610a170,高危,7.2,网络
0fd30250-6657-11ec-b689-5c80b610a170,高危,7.2,网络
0fd3c59b-6657-11ec-ba04-5c80b610a170,中危,6.5,邻接
0fd4d70a-6657-11ec-b590-5c80b610a170,高危,7.2,网络
0fd59a5b-6657-11ec-86be-5c80b610a170,高危,8.8,网络
0fd65dab-6657-11ec-ab7a-5c80b610a170,中危,6.5,网络
0fd76f1d-6657-11ec-a554-5c80b610a170,中危,6.5,网络
0fd8597a-6657-11ec-876e-5c80b610a170,高危,7.5,网络
0fd91cca-6657-11ec-80d8-5c80b610a170,高危,7.5,网络
0fda5549-6657-11ec-8767-5c80b610a170,高危,8.6,网络
0fdaf18a-6657-11ec-9a04-5c80b610a170,中危,6.7,本地
0fdbb4d8-6657-11ec-bfdf-5c80b610a170,高危,7.8,本地
0fdc782b-6657-11ec-bf58-5c80b610a170,中危,6.5,网络
0fdd6288-6657-11ec-a358-5c80b610a170,中危,5.3,网络
0fde73fa-6657-11ec-8b58-5c80b610a170,超危,9.8,网络
0fdf3749-6657-11ec-94bd-5c80b610a170,超危,9.8,网络
0fe021aa-6657-11ec-9d40-5c80b610a170,超危,9.8,网络
0fe10c0d-6657-11ec-9acb-5c80b610a170,高危,7.5,网络
0fe21d7a-6657-11ec-8f77-5c80b610a170,高危,7.4,邻接
0fe2b9ba-6657-11ec-b709-5c80b610a170,高危,8.6,网络
0fe3cb30-6657-11ec-bf57-5c80b610a170,高危,7.4,邻接
0fe4b58b-6657-11ec-bbf1-5c80b610a170,高危,7.4,邻接
0fe578dc-6657-11ec-a742-5c80b610a170,高危,8.8,邻接
0fe68a4a-6657-11ec-a722-5c80b610a170,超危,9.8,网络
0fe774a9-6657-11ec-97e2-5c80b610a170,高危,7.5,网络
0fe810ea-6657-11ec-9773-5c80b610a170,高危,7.4,邻接
0fe8fb4c-6657-11ec-ae9b-5c80b610a170,中危,6.7,本地
0fe9be98-6657-11ec-ba6a-5c80b610a170,中危,6.8,物理
0fead021-6657-11ec-a87f-5c80b610a170,高危,7.5,网络
0febba85-6657-11ec-b0f3-5c80b610a170,高危,7.2,网络
0fecf2fa-6657-11ec-a99a-5c80b610a170,中危,4.3,邻接
0feddd4d-6657-11ec-a0be-5c80b610a170,高危,7.5,网络
0feea09a-6657-11ec-bdfd-5c80b610a170,中危,6.5,邻接
0fef63ea-6657-11ec-a1fa-5c80b610a170,高危,8.8,邻接
0ff0273e-6657-11ec-9bd0-5c80b610a170,中危,5.3,网络
0ff0ea8b-6657-11ec-b814-5c80b610a170,高危,8.6,网络
0ff24a15-6657-11ec-a283-5c80b610a170,中危,6.5,邻接
0ff30d93-6657-11ec-9c3c-5c80b610a170,中危,6.5,网络
0ff3d0a1-6657-11ec-a225-5c80b610a170,中危,6.7,本地
0ff49402-6657-11ec-99e1-5c80b610a170,中危,6.7,本地
0ff57e4c-6657-11ec-81e3-5c80b610a170,超危,9.8,网络
0ff668ac-6657-11ec-a6ca-5c80b610a170,超危,9.8,网络
0ff75332-6657-11ec-a7d1-5c80b610a170,超危,9.8,网络
0ff8165c-6657-11ec-b4a1-5c80b610a170,超危,9.8,网络
0ff8d9b0-6657-11ec-bdec-5c80b610a170,超危,9.8,网络
0ff99cfb-6657-11ec-a1c0-5c80b610a170,超危,9.8,网络
0ffa6232-6657-11ec-95e9-5c80b610a170,超危,9.8,网络
0ffb2533-6657-11ec-ab3a-5c80b610a170,高危,7.5,网络
0ffbe86e-6657-11ec-9f50-5c80b610a170,高危,7.5,网络
0ffcaa72-6657-11ec-b186-5c80b610a170,高危,7.2,网络
0ffd9650-6657-11ec-891d-5c80b610a170,高危,7.2,网络
0ffe800a-6657-11ec-8372-5c80b610a170,高危,7.2,网络
0fff43e3-6657-11ec-a3f5-5c80b610a170,高危,7.2,网络
10000732-6657-11ec-8727-5c80b610a170,高危,7.2,网络
1000ca01-6657-11ec-8c46-5c80b610a170,高危,7.2,网络
10018c82-6657-11ec-b8ea-5c80b610a170,高危,7.2,网络
10025117-6657-11ec-ae3a-5c80b610a170,高危,7.2,网络
1002ebf8-6657-11ec-a554-5c80b610a170,高危,7.2,网络
1003b0a0-6657-11ec-9dd4-5c80b610a170,高危,7.2,网络
10047414-6657-11ec-97cb-5c80b610a170,高危,7.2,网络
10053606-6657-11ec-8724-5c80b610a170,高危,7.2,网络
1005f958-6657-11ec-a7fb-5c80b610a170,高危,7.2,网络
1006bca5-6657-11ec-94a2-5c80b610a170,高危,7.2,网络
10077ff2-6657-11ec-a8f6-5c80b610a170,高危,7.2,网络
10084344-6657-11ec-9240-5c80b610a170,高危,7.2,网络
10092daa-6657-11ec-a90e-5c80b610a170,高危,7.2,网络
1009f0f3-6657-11ec-ac05-5c80b610a170,高危,7.2,网络
100ab445-6657-11ec-b2e2-5c80b610a170,高危,7.2,网络
100b7793-6657-11ec-8ac3-5c80b610a170,高危,7.2,网络
100c3ae4-6657-11ec-838e-5c80b610a170,高危,7.2,网络
100d2546-6657-11ec-81e7-5c80b610a170,高危,7.2,网络
100de893-6657-11ec-b456-5c80b610a170,高危,7.2,网络
100eabe2-6657-11ec-85cf-5c80b610a170,高危,7.2,网络
100f6f36-6657-11ec-8d19-5c80b610a170,高危,7.2,网络
10103286-6657-11ec-ade6-5c80b610a170,高危,7.2,网络
1010f5d2-6657-11ec-ac65-5c80b610a170,高危,7.2,网络
1011e05a-6657-11ec-a8d2-5c80b610a170,高危,7.2,网络
1012a4c0-6657-11ec-81b0-5c80b610a170,高危,7.2,网络
10133f98-6657-11ec-a2cf-5c80b610a170,高危,7.2,网络
101429eb-6657-11ec-898f-5c80b610a170,高危,7.2,网络
1014ed5c-6657-11ec-b61c-5c80b610a170,高危,7.2,网络
1015b1fe-6657-11ec-ac8f-5c80b610a170,高危,7.2,网络
1016c222-6657-11ec-82ab-5c80b610a170,高危,7.2,网络
1017adf4-6657-11ec-8454-5c80b610a170,高危,7.2,网络
1018712f-6657-11ec-907a-5c80b610a170,高危,8.6,网络
10195a0a-6657-11ec-9666-5c80b610a170,高危,7.8,本地
101a45e7-6657-11ec-bcd5-5c80b610a170,高危,7.8,本地
101b2ef9-6657-11ec-8942-5c80b610a170,高危,7.8,本地
101bf392-6657-11ec-bfd7-5c80b610a170,高危,7.8,本地
101cb6dc-6657-11ec-abd6-5c80b610a170,超危,9.8,网络
101d78fb-6657-11ec-8366-5c80b610a170,超危,9.8,网络
101e6352-6657-11ec-9213-5c80b610a170,高危,8.8,网络
101eff90-6657-11ec-a765-5c80b610a170,高危,8.8,网络
101fdb23-6657-11ec-8ee0-5c80b610a170,高危,8.6,网络
10209e72-6657-11ec-a3fb-5c80b610a170,高危,7.5,网络
102161c2-6657-11ec-bde1-5c80b610a170,高危,8.6,网络
102224ec-6657-11ec-b3d6-5c80b610a170,高危,8.6,网络
10235d64-6657-11ec-aecb-5c80b610a170,中危,4.4,本地
102420c8-6657-11ec-b61c-5c80b610a170,高危,7.5,网络
1024e40c-6657-11ec-8b0b-5c80b610a170,中危,4.3,邻接
1025f564-6657-11ec-9d56-5c80b610a170,高危,7.2,网络
1026b8d4-6657-11ec-b4e8-5c80b610a170,高危,7.2,网络
10277c3e-6657-11ec-a7a8-5c80b610a170,高危,7.2,网络
10288dc4-6657-11ec-82e6-5c80b610a170,高危,7.2,网络
10297807-6657-11ec-8e5c-5c80b610a170,高危,7.2,网络
102a624d-6657-11ec-ad16-5c80b610a170,高危,7.2,网络
102b2596-6657-11ec-95d6-5c80b610a170,高危,7.2,网络
102be8ea-6657-11ec-b19c-5c80b610a170,高危,7.2,网络
102cfa8e-6657-11ec-bfbf-5c80b610a170,高危,7.2,网络
102dbf10-6657-11ec-8ec5-5c80b610a170,高危,7.2,网络
102ed086-6657-11ec-81e4-5c80b610a170,高危,7.2,网络
